#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000219 000006 000000001400 190.732 +00.158 0.471
000000000219 000006 000000002567 190.738 +00.170 0.468
000000000219 000006 000000002711 190.778 +00.137 0.468
000000000219 000006 000000003244 190.757 +00.186 0.475
000000000219 000006 000000006273 190.770 +00.131 0.465
000000000219 000006 000000012936 190.802 +00.126 0.462
000000000289 000006 000000003018 211.251 +00.155 0.448
000000000289 000006 000000003099 211.376 +00.170 0.436
000000000289 000006 000000008842 211.317 +00.179 0.439
000000000289 000006 000000009755 211.280 +00.131 0.449
000000000289 000006 000000011907 211.325 +00.189 0.439
000000000289 000006 000000012445 211.285 +00.216 0.442
000000000257 000006 000000002080 206.636 -00.038 0.469
000000000257 000006 000000003122 206.603 +00.003 0.481
000000000257 000006 000000003382 206.591 +00.064 0.486
000000000257 000006 000000004216 206.605 +00.093 0.484
000000000257 000006 000000007557 206.618 +00.129 0.480
000000000257 000006 000000012693 206.602 +00.064 0.484
000000000252 000006 000000002006 219.982 -00.459 0.543
000000000252 000006 000000002684 220.054 -00.478 0.540
000000000252 000006 000000003196 220.000 -00.463 0.555
000000000252 000006 000000005975 219.996 -00.462 0.543
000000000252 000006 000000007546 220.012 -00.512 0.538
000000000252 000006 000000011629 220.057 -00.479 0.537
000000000246 000006 000000001913 205.653 +00.156 0.527
000000000246 000006 000000002103 205.600 +00.152 0.530
000000000246 000006 000000004567 205.604 +00.135 0.528
000000000246 000006 000000005754 205.601 +00.134 0.525
000000000246 000006 000000010533 205.645 +00.174 0.530
000000000246 000006 000000011669 205.596 +00.111 0.526
000000000041 000006 000000001206 015.707 +00.073 0.409
000000000041 000006 000000001675 015.688 +00.167 0.421
000000000041 000006 000000004585 015.729 +00.034 0.422
000000000041 000006 000000004957 015.688 -00.165 0.417
000000000041 000006 000000008886 015.671 -00.072 0.415
000000000041 000006 000000008998 015.802 +00.089 0.399
000000000238 000006 000000001748 202.279 -00.113 0.489
000000000238 000006 000000009115 202.267 -00.090 0.489
000000000238 000006 000000009679 202.205 +00.005 0.489
000000000238 000006 000000010071 202.255 -00.069 0.491
000000000238 000006 000000011965 202.283 -00.117 0.488
000000000238 000006 000000013125 202.214 -00.045 0.489
000000000226 000006 000000001508 205.229 -00.164 0.435
000000000226 000006 000000002001 205.313 -00.165 0.448
000000000226 000006 000000004938 205.303 -00.178 0.448
000000000226 000006 000000009375 205.282 -00.214 0.447
000000000226 000006 000000012004 205.325 -00.160 0.450
000000000226 000006 000000012283 205.283 -00.143 0.449
000000000051 000006 000000001734 154.950 +00.409 0.449
000000000051 000006 000000005234 154.994 +00.347 0.449
000000000051 000006 000000006770 155.136 +00.329 0.458
000000000051 000006 000000007028 155.073 +00.213 0.451
000000000051 000006 000000008091 155.031 +00.285 0.462
000000000051 000006 000000012177 155.069 +00.350 0.449
000000000224 000006 000000001498 204.255 +00.021 0.477
000000000224 000006 000000002742 204.290 +00.054 0.482
000000000224 000006 000000003476 204.199 +00.017 0.478
000000000224 000006 000000006445 204.156 -00.015 0.476
000000000224 000006 000000008839 204.260 +00.086 0.478
000000000224 000006 000000009438 204.303 +00.060 0.478
000000000240 000006 000000001811 219.052 +00.284 0.456
000000000240 000006 000000003055 219.002 +00.277 0.460
000000000240 000006 000000004338 218.999 +00.288 0.459
000000000240 000006 000000005359 219.028 +00.211 0.469
000000000240 000006 000000007150 219.032 +00.275 0.460
000000000240 000006 000000007358 219.081 +00.253 0.460
000000000154 000006 000000000240 226.006 -00.787 0.446
000000000154 000006 000000000798 226.111 -00.791 0.444
000000000154 000006 000000005237 226.036 -00.725 0.442
000000000154 000006 000000007212 225.921 -00.699 0.443
000000000154 000006 000000008758 225.960 -00.769 0.442
000000000154 000006 000000010835 226.054 -00.798 0.445
000000000013 000006 000000000280 013.408 +00.555 0.415
000000000013 000006 000000005848 013.380 +00.455 0.420
000000000013 000006 000000007556 013.408 +00.325 0.426
000000000013 000006 000000009178 013.372 +00.261 0.430
000000000013 000006 000000009399 013.287 +00.611 0.424
000000000013 000006 000000011908 013.442 +00.502 0.405
000000000200 000006 000000000995 326.087 -00.486 0.595
000000000200 000006 000000001633 326.049 -00.441 0.592
000000000200 000006 000000006041 326.051 -00.468 0.588
000000000200 000006 000000010788 326.007 -00.459 0.591
000000000200 000006 000000012635 326.043 -00.430 0.592
000000000200 000006 000000012819 326.010 -00.477 0.591
000000000191 000006 000000000864 202.202 -00.368 0.528
000000000191 000006 000000001085 202.189 -00.369 0.530
000000000191 000006 000000005451 202.194 -00.316 0.526
000000000191 000006 000000007190 202.201 -00.371 0.529
000000000191 000006 000000009141 202.196 -00.403 0.527
000000000191 000006 000000010173 202.194 -00.314 0.530
000000000114 000006 000000005204 152.907 +00.113 0.427
000000000114 000006 000000006088 152.885 +00.053 0.437
000000000114 000006 000000006538 152.871 +00.295 0.434
000000000114 000006 000000009817 152.903 +00.232 0.442
000000000114 000006 000000011238 152.888 +00.161 0.435
000000000114 000006 000000012137 152.912 +00.081 0.436
000000000166 000006 000000000330 207.554 +00.018 0.504
000000000166 000006 000000003243 207.576 -00.037 0.519
000000000166 000006 000000004200 207.599 -00.024 0.521
000000000166 000006 000000004866 207.591 +00.014 0.507
000000000166 000006 000000010138 207.601 +00.017 0.521
000000000166 000006 000000012379 207.606 -00.033 0.520
000000000140 000005 000000000046 188.217 +00.461 0.407
000000000140 000005 000000005049 188.446 +00.073 0.410
000000000140 000005 000000006481 188.323 +00.221 0.410
000000000140 000005 000000006820 188.324 +00.183 0.410
000000000140 000005 000000007813 188.304 +00.329 0.408
000000000292 000005 000000003080 343.144 -00.839 0.539
000000000292 000005 000000007429 343.117 -00.918 0.539
000000000292 000005 000000009779 343.128 -00.910 0.541
000000000292 000005 000000010078 343.118 -00.911 0.541
000000000292 000005 000000011929 343.144 -00.881 0.536
000000000056 000005 000000002009 034.653 -00.358 0.671
000000000056 000005 000000008445 034.677 -00.251 0.649
000000000056 000005 000000010134 034.688 -00.248 0.656
000000000056 000005 000000010888 034.684 -00.261 0.668
000000000056 000005 000000011231 034.664 -00.172 0.653
000000000147 000005 000000000125 211.527 -00.466 0.585
000000000147 000005 000000005516 211.535 -00.466 0.586
000000000147 000005 000000007831 211.557 -00.487 0.584
000000000147 000005 000000009119 211.552 -00.479 0.581
000000000147 000005 000000010491 211.511 -00.493 0.572
000000000296 000005 000000003137 207.833 -00.136 0.521
000000000296 000005 000000004401 207.898 -00.285 0.520
000000000296 000005 000000008462 207.879 -00.260 0.520
000000000296 000005 000000010195 207.889 -00.203 0.520
000000000296 000005 000000012828 207.867 -00.171 0.523
000000000213 000005 000000001285 347.025 -00.503 0.571
000000000213 000005 000000005306 346.966 -00.465 0.583
000000000213 000005 000000005859 347.042 -00.493 0.572
000000000213 000005 000000012404 347.005 -00.497 0.573
000000000213 000005 000000013124 347.050 -00.493 0.570
000000000049 000005 000000001668 163.318 -00.124 0.693
000000000049 000005 000000002115 163.407 -00.361 0.674
000000000049 000005 000000002131 163.369 -00.176 0.678
000000000049 000005 000000007278 163.432 -00.296 0.669
000000000049 000005 000000012468 163.410 -00.478 0.672
000000000308 000005 000000003603 227.640 -00.055 0.567
000000000308 000005 000000004462 227.619 -00.032 0.567
000000000308 000005 000000005186 227.598 -00.060 0.568
000000000308 000005 000000011892 227.624 +00.024 0.566
000000000308 000005 000000012344 227.597 -00.117 0.570
000000000309 000005 000000003689 190.420 -00.483 0.459
000000000309 000005 000000004392 190.412 -00.540 0.463
000000000309 000005 000000004434 190.462 -00.521 0.459
000000000309 000005 000000005070 190.489 -00.517 0.458
000000000309 000005 000000007778 190.470 -00.522 0.459
000000000044 000005 000000001266 155.314 -00.468 0.517
000000000044 000005 000000003023 155.317 -00.496 0.520
000000000044 000005 000000004314 155.328 -00.460 0.516
000000000044 000005 000000005625 155.312 -00.494 0.522
000000000044 000005 000000010325 155.316 -00.468 0.518
000000000144 000005 000000000113 219.622 -00.425 0.547
000000000144 000005 000000003090 219.587 -00.390 0.546
000000000144 000005 000000004807 219.612 -00.442 0.541
000000000144 000005 000000004977 219.668 -00.490 0.540
000000000144 000005 000000008471 219.671 -00.441 0.544
000000000305 000005 000000003490 206.945 -00.049 0.559
000000000305 000005 000000003686 206.932 -00.069 0.553
000000000305 000005 000000003875 206.955 -00.041 0.554
000000000305 000005 000000004622 206.923 +00.009 0.555
000000000305 000005 000000005320 206.962 +00.047 0.557
000000000286 000005 000000002961 207.511 -00.504 0.641
000000000286 000005 000000005829 207.607 -00.474 0.637
000000000286 000005 000000005908 207.481 -00.419 0.638
000000000286 000005 000000008680 207.606 -00.486 0.637
000000000286 000005 000000011452 207.469 -00.465 0.641
000000000168 000005 000000000350 206.881 +00.239 0.499
000000000168 000005 000000003809 206.915 +00.279 0.495
000000000168 000005 000000005377 206.877 +00.221 0.500
000000000168 000005 000000009711 206.926 +00.273 0.502
000000000168 000005 000000012471 206.916 +00.276 0.501
000000000287 000005 000000003011 325.321 -00.412 0.622
000000000287 000005 000000004850 325.375 -00.440 0.614
000000000287 000005 000000006087 325.388 -00.423 0.615
000000000287 000005 000000007784 325.304 -00.505 0.618
000000000287 000005 000000008875 325.432 -00.437 0.606
000000000061 000005 000000002264 151.575 -00.245 0.485
000000000061 000005 000000003975 151.595 -00.248 0.485
000000000061 000005 000000004665 151.618 -00.251 0.486
000000000061 000005 000000007127 151.546 -00.228 0.472
000000000061 000005 000000010973 151.574 -00.245 0.486
000000000282 000005 000000002870 211.927 -00.550 0.466
000000000282 000005 000000007412 212.025 -00.483 0.467
000000000282 000005 000000008249 211.993 -00.500 0.470
000000000282 000005 000000009365 211.981 -00.459 0.466
000000000282 000005 000000012983 211.959 -00.504 0.467
000000000276 000005 000000002714 223.681 +00.232 0.581
000000000276 000005 000000005689 223.633 +00.269 0.578
000000000276 000005 000000007467 223.665 +00.288 0.579
000000000276 000005 000000008528 223.678 +00.284 0.582
000000000276 000005 000000008693 223.699 +00.271 0.581
000000000272 000005 000000002548 205.420 +00.288 0.503
000000000272 000005 000000005396 205.421 +00.310 0.504
000000000272 000005 000000006756 205.414 +00.289 0.510
000000000272 000005 000000011997 205.398 +00.254 0.514
000000000272 000005 000000012522 205.411 +00.282 0.508
000000000070 000005 000000002758 162.154 +00.241 0.480
000000000070 000005 000000004590 162.145 +00.247 0.494
000000000070 000005 000000005416 162.130 +00.233 0.490
000000000070 000005 000000005968 162.166 +00.221 0.489
000000000070 000005 000000008075 162.175 +00.208 0.488
000000000169 000005 000000000351 321.830 -00.454 0.478
000000000169 000005 000000003916 321.870 -00.387 0.484
000000000169 000005 000000006220 321.874 -00.456 0.470
000000000169 000005 000000008246 321.867 -00.450 0.468
000000000169 000005 000000012388 321.852 -00.439 0.475
000000000259 000005 000000002141 211.825 -00.249 0.542
000000000259 000005 000000003548 211.779 -00.251 0.557
000000000259 000005 000000005418 211.767 -00.290 0.556
000000000259 000005 000000006658 211.774 -00.275 0.552
000000000259 000005 000000010734 211.794 -00.271 0.556
000000000186 000005 000000000732 200.800 -00.226 0.466
000000000186 000005 000000003365 200.788 -00.236 0.468
000000000186 000005 000000004806 200.722 -00.218 0.468
000000000186 000005 000000010940 200.767 -00.214 0.466
000000000186 000005 000000012462 200.848 -00.249 0.466
000000000248 000005 000000001956 201.122 -00.516 0.557
000000000248 000005 000000008178 201.135 -00.552 0.562
000000000248 000005 000000008629 201.132 -00.520 0.561
000000000248 000005 000000011523 201.140 -00.477 0.558
000000000248 000005 000000012883 201.162 -00.477 0.561
000000000197 000005 000000000969 213.098 -00.837 0.636
000000000197 000005 000000002010 213.123 -00.910 0.632
000000000197 000005 000000002816 212.995 -00.930 0.648
000000000197 000005 000000006991 213.094 -00.950 0.637
000000000197 000005 000000012339 212.993 -00.839 0.637
000000000102 000005 000000004829 152.186 -00.413 0.588
000000000102 000005 000000005835 152.147 -00.398 0.588
000000000102 000005 000000008380 152.130 -00.430 0.584
000000000102 000005 000000009511 152.124 -00.445 0.586
000000000102 000005 000000012432 152.146 -00.399 0.588
000000000042 000005 000000001219 162.109 -00.843 0.496
000000000042 000005 000000005066 162.119 -00.832 0.496
000000000042 000005 000000008499 162.099 -00.875 0.495
000000000042 000005 000000011059 162.104 -00.860 0.496
000000000042 000005 000000012261 162.116 -00.783 0.501
000000000189 000005 000000000847 221.209 +00.190 0.622
000000000189 000005 000000001323 221.242 +00.258 0.618
000000000189 000005 000000005347 221.314 +00.223 0.619
000000000189 000005 000000006447 221.312 +00.188 0.610
000000000189 000005 000000007454 221.141 +00.175 0.617
000000000141 000005 000000000060 207.275 -00.079 0.610
000000000141 000005 000000000468 207.284 -00.208 0.613
000000000141 000005 000000001896 207.260 -00.081 0.612
000000000141 000005 000000007452 207.238 -00.150 0.611
000000000141 000005 000000009513 207.170 -00.132 0.605
000000000020 000005 000000000521 185.577 -00.609 0.452
000000000020 000005 000000004601 185.643 -00.493 0.456
000000000020 000005 000000006469 185.579 -00.566 0.458
000000000020 000005 000000009656 185.597 -00.550 0.458
000000000020 000005 000000011064 185.576 -00.597 0.459
000000000355 000005 000000006024 314.553 -00.207 0.710
000000000355 000005 000000006112 314.616 -00.197 0.721
000000000355 000005 000000009066 314.394 -00.206 0.713
000000000355 000005 000000010400 314.635 -00.183 0.716
000000000355 000005 000000012708 314.514 -00.270 0.708
000000000029 000005 000000000742 011.058 -00.137 0.478
000000000029 000005 000000006008 011.088 -00.131 0.477
000000000029 000005 000000007730 011.084 -00.131 0.476
000000000029 000005 000000010722 011.030 -00.154 0.477
000000000029 000005 000000011086 011.098 -00.172 0.480
000000000368 000005 000000007734 226.071 -00.208 0.639
000000000368 000005 000000008929 226.158 -00.155 0.634
000000000368 000005 000000010358 226.153 -00.145 0.632
000000000368 000005 000000011032 225.973 -00.243 0.636
000000000368 000005 000000011146 226.161 -00.163 0.630
000000000007 000005 000000000139 185.303 +00.188 0.533
000000000007 000005 000000001032 185.277 +00.241 0.532
000000000007 000005 000000004961 185.310 +00.290 0.534
000000000007 000005 000000009749 185.308 +00.334 0.534
000000000007 000005 000000012117 185.290 +00.227 0.532
000000000352 000005 000000005963 322.963 -00.510 0.494
000000000352 000005 000000007937 322.956 -00.492 0.497
000000000352 000005 000000008140 323.009 -00.531 0.491
000000000352 000005 000000009453 323.019 -00.527 0.488
000000000352 000005 000000012839 322.984 -00.509 0.495
000000000344 000005 000000005804 221.317 +00.147 0.545
000000000344 000005 000000006000 221.312 +00.118 0.544
000000000344 000005 000000008215 221.294 +00.104 0.544
000000000344 000005 000000009587 221.339 +00.110 0.545
000000000344 000005 000000011460 221.318 +00.086 0.545
000000000363 000005 000000002194 199.669 -00.386 0.475
000000000363 000005 000000006985 199.658 -00.454 0.483
000000000363 000005 000000010641 199.671 -00.481 0.477
000000000363 000005 000000010736 199.619 -00.417 0.476
000000000363 000005 000000012797 199.602 -00.379 0.475
000000000351 000005 000000005878 205.598 -00.731 0.600
000000000351 000005 000000005960 205.485 -00.796 0.606
