1 222.1629 0.57967454 0.6212 0 19.70506
2 326.4649 -0.66790317 0.599 0 19.80336
5 204.28129 0.25260092 0.563 0 20.09039
9 205.42326 0.092894807 0.5126 0 19.77969
10 223.04143 0.36751364 0.4808 0 19.35749
13 351.13546 0.32780367 0.5186 0 19.80322
15 220.28685 -0.92281852 0.5862 0 19.70677
21 208.80745 0.19440334 0.6752 0 19.48518
22 190.76448 -0.27219219 0.5686 0 19.51627
23 352.59138 -0.37209578 0.6126 0 20.10923
24 343.60008 -1.1097256 0.5338 0 19.85763
25 185.17997 -0.50893507 0.684 0 19.44186
28 350.55369 -0.15852892 0.5361 0 19.95911
30 352.39085 -0.35514498 0.5337 0 19.33104
33 224.06031 -0.030254142 0.6367 0 19.21979
34 210.21214 -0.48667458 0.5293 0 19.29411
35 190.02039 -1.0041275 0.4684 0 19.44606
36 192.53807 -0.11514421 0.4763 0 19.964
38 202.41097 -0.81647785 0.5311 0 19.62775
39 210.18027 0.1573702 0.4984 0 19.27241
41 210.97051 -0.30513358 0.5475 0 19.72833
43 213.98482 -0.76102841 0.735 0 20.41785
45 203.44568 -0.62854424 0.4506 0 19.93124
46 188.21677 0.46072616 0.4066 0 18.7162
47 350.44552 0.42921398 0.6144 0 19.60781
49 212.64143 -0.13827949 0.531 0 19.41416
50 346.36028 -1.1353515 0.524 0 19.26429
51 205.77503 -0.46011104 0.5566 0 19.54843
52 186.43252 -0.52550617 0.5609 0 19.33838
53 192.3998 -0.6180117 0.4467 0 19.76868
55 342.93083 -0.34370298 0.598 0 19.68164
56 322.2963 -0.046642164 0.493 0 19.12015
57 186.51704 0.029989142 0.4845 0 19.60268
58 187.61402 -0.09362947 0.4444 0 19.12855
59 325.60491 -0.58794701 0.5399 0 19.84758
60 207.27515 -0.079133811 0.6103 0 19.30393
63 210.47276 -0.60334793 0.7332 0 20.2601
65 187.25764 0.011974939 0.4781 0 19.64247
67 209.5095 0.5083977 0.5989 0 19.77699
