#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000045 160.859 -00.301 0.524 000004 00.263 07.684 01.564
000000000033 185.602 -01.159 0.494 000004 00.294 06.191 01.404
000000000326 210.816 -00.546 0.586 000004 00.127 33.230 03.252
000000000278 224.921 -00.302 0.561 000004 00.390 03.513 01.057
000000000047 139.706 -00.248 0.458 000004 00.232 09.922 01.777
000000000328 204.265 +00.262 0.740 000004 00.062 138.899 06.649
000000000279 223.082 +00.140 0.590 000004 00.194 14.177 02.124
000000000062 152.290 -00.006 0.526 000004 00.765 00.911 00.538
000000000034 167.254 -00.003 0.535 000004 00.301 05.884 01.369
000000000281 205.095 -00.366 0.451 000004 00.090 65.630 04.571
000000000283 190.556 +00.383 0.464 000004 00.348 04.401 01.184
000000000270 198.923 -00.409 0.512 000004 00.308 05.617 01.337
000000000060 185.499 +00.158 0.458 000004 00.202 13.107 02.043
000000000023 167.382 +00.240 0.530 000004 00.255 08.177 01.613
000000000077 155.993 +00.641 0.449 000004 00.264 07.641 01.560
000000000267 218.932 -00.124 0.543 000004 00.189 14.875 02.176
000000000037 161.882 -00.386 0.604 000004 00.168 18.923 02.454
000000000266 207.894 +00.402 0.455 000004 00.219 11.116 01.881
000000000319 321.494 -00.541 0.472 000004 00.410 03.167 01.004
000000000291 191.157 -00.075 0.575 000004 00.225 10.532 01.831
000000000290 222.782 +00.068 0.558 000004 00.243 09.045 01.697
000000000072 152.284 -00.711 0.614 000004 00.098 56.040 04.224
000000000036 010.795 +00.385 0.527 000004 00.305 05.723 01.350
000000000142 345.557 +00.318 0.517 000004 00.151 23.306 02.724
000000000074 034.565 -00.671 0.675 000004 00.091 65.086 04.552
000000000116 150.310 +00.188 0.492 000003 00.235 05.444 01.316
000000000032 010.350 -00.334 0.459 000003 00.305 03.223 01.013
000000000123 166.376 -00.414 0.505 000003 00.155 12.538 01.998
000000000055 124.372 -00.452 0.461 000003 00.252 04.712 01.225
000000000122 154.177 +00.030 0.501 000003 00.424 01.670 00.729
000000000050 152.508 -00.598 0.475 000003 00.509 01.160 00.608
000000000117 155.313 -00.860 0.517 000003 00.177 09.611 01.749
000000000118 141.906 -00.238 0.458 000003 00.240 05.200 01.287
000000000052 163.369 -00.944 0.560 000003 00.184 08.849 01.678
000000000119 010.308 +00.147 0.515 000003 00.180 09.284 01.719
000000000124 162.596 -00.801 0.461 000003 00.322 02.889 00.959
000000000008 013.231 -00.158 0.618 000003 00.289 03.601 01.071
000000000127 152.657 -00.489 0.522 000003 00.416 01.737 00.744
000000000125 158.916 -00.416 0.545 000003 00.176 09.631 01.751
000000000043 154.229 -00.847 0.542 000003 00.435 01.589 00.711
000000000002 185.145 -00.509 0.684 000003 00.066 68.250 04.661
000000000038 167.840 -00.519 0.558 000003 00.197 07.731 01.569
000000000039 009.082 -00.593 0.662 000003 00.107 26.090 02.882
000000000040 011.988 +00.587 0.577 000003 00.137 16.056 02.261
000000000137 326.465 -00.680 0.598 000003 00.164 11.194 01.888
000000000136 162.075 -00.404 0.599 000003 00.188 08.513 01.646
000000000135 155.404 -00.319 0.619 000003 00.098 31.147 03.149
000000000134 162.648 +00.518 0.483 000003 00.227 05.837 01.363
000000000048 137.780 +00.048 0.511 000003 00.223 06.052 01.388
000000000133 012.100 -00.933 0.725 000003 00.070 60.372 04.384
000000000132 158.737 -00.161 0.457 000003 00.174 09.887 01.774
000000000130 035.292 -00.447 0.475 000003 00.296 03.429 01.045
000000000129 036.326 -00.744 0.584 000003 00.193 08.022 01.598
000000000035 151.672 -00.219 0.449 000003 00.199 07.575 01.553
000000000057 138.174 +00.266 0.605 000003 00.159 11.795 01.938
000000000046 035.053 -00.646 0.585 000003 00.179 09.399 01.730
000000000030 150.214 +00.268 0.496 000003 00.233 05.527 01.326
000000000017 150.362 -00.322 0.520 000003 00.331 02.738 00.934
000000000115 151.139 +00.223 0.516 000003 00.935 00.343 00.331
000000000058 185.120 +00.182 0.384 000003 00.152 13.056 02.039
000000000095 015.125 +00.237 0.488 000003 00.308 03.155 01.002
000000000094 157.573 +00.291 0.529 000003 00.250 04.807 01.237
000000000064 156.628 -00.524 0.570 000003 00.312 03.079 00.990
000000000065 151.941 +00.145 0.531 000003 00.279 03.859 01.108
000000000066 185.449 +00.305 0.460 000003 00.216 06.425 01.430
000000000015 150.775 -00.549 0.549 000003 00.149 13.431 02.068
000000000092 156.685 -00.350 0.433 000003 00.180 09.264 01.717
000000000067 036.399 -00.103 0.445 000003 00.151 13.078 02.040
000000000068 165.953 -00.868 0.464 000003 00.169 10.562 01.834
000000000016 153.286 -00.194 0.564 000003 00.289 03.580 01.067
000000000088 142.204 -00.038 0.454 000003 00.541 01.023 00.571
000000000086 151.749 -00.516 0.471 000003 01.037 00.279 00.298
000000000069 013.655 +00.398 0.550 000003 00.224 05.953 01.377
000000000071 142.689 +00.430 0.580 000003 00.222 06.102 01.394
000000000019 033.946 +00.522 0.749 000003 00.066 69.639 04.708
000000000082 152.557 -00.097 0.510 000003 00.229 05.714 01.349
000000000081 140.763 +00.434 0.553 000003 00.469 01.365 00.659
000000000075 034.523 -00.584 0.512 000003 00.201 07.447 01.540
000000000076 140.802 +00.059 0.524 000003 01.216 00.203 00.254
000000000022 140.478 +00.093 0.497 000003 01.641 00.111 00.188
000000000063 150.555 -00.706 0.567 000003 00.183 08.932 01.686
000000000096 157.632 -00.027 0.491 000003 00.470 01.356 00.657
000000000108 153.037 +00.360 0.517 000003 00.218 06.301 01.416
000000000112 156.175 +00.373 0.500 000003 00.190 08.330 01.628
000000000027 033.414 +00.064 0.747 000003 00.045 150.014 06.910
000000000111 009.770 -00.050 0.541 000003 00.161 11.604 01.922
000000000026 141.471 -00.495 0.465 000003 00.332 02.714 00.929
000000000078 185.370 -00.500 0.640 000003 00.093 34.823 03.329
000000000010 162.516 +00.011 0.585 000003 00.276 03.951 01.121
000000000109 152.261 -00.044 0.421 000003 00.128 18.235 02.409
000000000011 159.682 -01.063 0.557 000003 00.155 12.446 01.990
000000000107 011.128 -00.542 0.748 000003 00.058 88.620 05.311
000000000097 156.742 -00.678 0.569 000003 00.843 00.422 00.366
000000000106 009.529 +00.485 0.556 000003 00.166 10.840 01.858
000000000105 163.469 -00.096 0.496 000003 00.192 08.115 01.607
000000000104 013.721 +00.299 0.545 000003 00.207 07.013 01.494
000000000012 035.752 +00.700 0.482 000003 00.226 05.849 01.364
000000000101 153.027 -00.623 0.466 000003 00.247 04.901 01.249
000000000100 010.816 -00.029 0.467 000003 00.186 08.692 01.663
000000000099 154.048 +00.104 0.465 000003 00.417 01.724 00.741
000000000098 164.003 -00.328 0.526 000003 00.193 08.050 01.601
000000000090 151.998 -00.022 0.584 000003 00.331 02.746 00.935
000000000379 199.755 -00.581 0.494 000003 00.222 06.086 01.392
000000000143 348.293 -00.750 0.567 000003 00.200 07.489 01.544
000000000311 321.212 +00.098 0.513 000003 00.279 03.851 01.107
000000000302 189.671 -00.351 0.618 000003 00.130 17.876 02.385
000000000303 222.006 -00.633 0.531 000003 00.307 03.190 01.008
000000000304 342.995 -00.298 0.600 000003 00.096 32.453 03.214
000000000306 343.253 +00.442 0.408 000003 00.093 34.640 03.321
000000000307 205.677 -00.242 0.544 000003 00.368 02.210 00.839
000000000310 221.393 -00.580 0.536 000003 00.257 04.552 01.204
000000000313 203.842 +00.371 0.486 000003 00.192 08.172 01.613
000000000300 204.531 -00.198 0.474 000003 00.152 13.058 02.039
000000000314 203.935 -00.010 0.477 000003 00.154 12.622 02.004
000000000315 326.443 -00.515 0.541 000003 00.184 08.889 01.682
000000000316 325.294 +00.175 0.495 000003 00.212 06.676 01.458
000000000317 224.807 -00.702 0.436 000003 00.289 03.603 01.071
000000000318 213.813 -00.526 0.379 000003 00.048 128.758 06.402
000000000322 226.089 -00.465 0.537 000003 00.515 01.129 00.599
000000000301 220.415 +00.541 0.563 000003 00.438 01.567 00.706
000000000299 204.965 -00.679 0.466 000003 00.152 12.913 02.027
000000000327 222.484 -00.506 0.554 000003 00.419 01.706 00.737
000000000280 199.896 +00.142 0.506 000003 00.193 08.060 01.602
000000000268 343.918 -00.340 0.551 000003 00.232 05.560 01.330
000000000269 229.089 -00.837 0.651 000003 00.095 33.577 03.269
000000000273 319.938 -00.966 0.540 000003 00.246 04.967 01.257
000000000274 212.740 -00.571 0.417 000003 00.126 18.750 02.443
000000000275 185.697 +00.400 0.456 000003 04.019 00.019 00.077
000000000277 188.838 +00.062 0.504 000003 00.447 01.502 00.692
000000000284 205.718 -00.323 0.603 000003 00.094 34.222 03.301
000000000298 189.091 +00.160 0.499 000003 00.192 08.168 01.612
000000000285 202.131 -00.331 0.657 000003 00.067 67.749 04.644
000000000288 207.753 -00.609 0.522 000003 00.343 02.547 00.900
000000000293 219.116 -00.199 0.624 000003 00.134 16.656 02.303
000000000294 326.813 -00.144 0.516 000003 00.235 05.440 01.316
000000000295 199.226 +00.201 0.523 000003 00.158 12.028 01.957
000000000297 211.641 -00.515 0.542 000003 00.156 12.365 01.984
000000000323 190.466 -00.052 0.521 000003 00.260 04.445 01.189
000000000329 192.597 -00.243 0.527 000003 00.148 13.619 02.082
000000000145 205.219 -00.454 0.443 000003 00.156 12.398 01.987
000000000367 221.961 -00.955 0.526 000003 00.194 07.983 01.594
000000000356 203.530 +00.335 0.473 000003 00.249 04.848 01.242
000000000359 188.805 -00.666 0.505 000003 00.248 04.897 01.249
000000000360 322.178 -00.808 0.606 000003 00.139 15.490 02.220
000000000361 211.500 -00.772 0.561 000003 00.352 02.419 00.877
000000000362 191.637 -00.279 0.486 000003 00.366 02.234 00.843
000000000364 202.445 +00.299 0.505 000003 00.291 03.539 01.061
000000000369 219.756 -00.528 0.543 000003 00.484 01.280 00.638
000000000353 209.893 +00.077 0.533 000003 00.279 03.841 01.106
000000000372 205.492 -00.482 0.416 000003 00.132 17.181 02.339
000000000373 203.086 -00.105 0.471 000003 00.249 04.838 01.241
000000000374 222.052 +00.228 0.443 000003 00.366 02.238 00.844
000000000375 321.481 -00.638 0.747 000003 00.043 161.795 07.176
000000000376 350.649 +00.398 0.481 000003 00.200 07.511 01.546
000000000377 203.676 +00.189 0.521 000003 00.185 08.749 01.669
000000000354 202.372 +00.007 0.491 000003 00.308 03.152 01.002
