#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000394 206.636 +00.002 0.516 000005 00.211 18.777 02.445
000000000390 185.943 +00.254 0.524 000005 00.205 19.907 02.517
000000000314 219.091 -00.068 0.482 000005 00.605 02.274 00.851
000000000268 207.599 +00.017 0.478 000005 00.210 18.818 02.447
000000000340 212.502 -00.255 0.503 000005 00.182 25.050 02.824
000000000317 322.984 -00.510 0.483 000005 00.338 07.290 01.523
000000000108 167.764 -00.622 0.512 000005 00.166 30.330 03.107
000000000103 156.138 +00.367 0.524 000005 00.253 12.982 02.033
000000000098 161.840 +00.089 0.545 000005 00.278 10.810 01.855
000000000091 154.908 +00.349 0.533 000005 00.254 12.929 02.029
000000000087 156.152 -00.266 0.530 000005 00.311 08.627 01.657
000000000079 156.412 -00.283 0.510 000005 00.202 20.465 02.552
000000000078 162.154 +00.233 0.514 000005 00.436 04.383 01.181
000000000073 151.595 -00.245 0.510 000005 00.300 09.250 01.716
000000000069 162.109 -00.843 0.514 000005 00.336 07.361 01.531
000000000061 014.345 +00.141 0.504 000005 00.261 12.193 01.970
000000000039 155.049 -00.627 0.484 000005 00.198 21.310 02.604
000000000023 152.668 -00.470 0.482 000005 00.278 10.794 01.854
000000000022 151.964 -00.015 0.474 000005 00.297 09.440 01.733
000000000018 157.544 +00.298 0.466 000005 00.212 18.477 02.425
000000000012 158.329 +00.629 0.467 000005 00.137 44.458 03.762
000000000011 123.963 +00.274 0.471 000005 00.151 36.556 03.411
000000000008 013.759 +00.453 0.456 000005 00.114 64.258 04.523
000000000114 150.823 -00.509 0.539 000005 00.199 21.122 02.593
000000000139 167.364 +00.233 0.543 000005 00.222 16.885 02.318
000000000155 156.815 -00.336 0.575 000005 00.162 31.566 03.170
000000000250 186.015 -00.350 0.448 000005 00.079 132.854 06.503
000000000296 222.492 +00.101 0.482 000005 00.222 16.881 02.318
000000000286 327.862 +00.241 0.473 000005 00.205 19.893 02.516
000000000283 226.258 +00.550 0.483 000005 00.227 16.152 02.267
000000000277 229.676 -00.267 0.474 000005 00.145 39.675 03.554
000000000272 190.704 -00.461 0.463 000005 00.125 53.548 04.129
000000000271 224.828 -00.702 0.478 000005 00.165 30.663 03.124
000000000255 212.485 -00.477 0.444 000005 00.089 106.008 05.809
000000000247 204.972 -00.101 0.439 000005 00.060 234.197 08.634
000000000156 155.316 -00.468 0.576 000005 00.613 02.215 00.840
000000000245 188.304 +00.278 0.441 000005 00.109 69.727 04.711
000000000244 218.444 -00.045 0.425 000005 00.048 366.198 10.797
000000000237 161.963 +00.540 0.674 000005 00.039 542.613 13.142
000000000212 033.727 +00.075 0.624 000005 00.094 94.183 05.475
000000000209 185.243 -00.484 0.598 000005 00.139 43.111 03.704
000000000201 141.607 +00.536 0.568 000005 00.172 28.155 02.994
000000000185 151.670 -00.942 0.570 000005 00.140 42.532 03.679
000000000485 205.531 +00.272 0.578 000005 00.297 09.440 01.733
000000000000 011.889 -00.340 0.447 000005 00.058 251.629 08.950
000000000611 221.312 +00.190 0.660 000005 00.063 210.689 08.189
000000000542 211.286 -00.452 0.563 000005 00.244 13.941 02.107
000000000584 208.807 +00.185 0.628 000005 00.192 22.533 02.678
000000000506 223.678 +00.271 0.577 000005 00.307 08.851 01.679
000000000592 224.754 +00.210 0.616 000005 00.078 137.499 06.616
000000000519 187.270 +00.608 0.578 000005 00.284 10.355 01.815
000000000563 321.898 +00.149 0.593 000005 00.128 50.588 04.013
000000000599 343.661 +00.014 0.608 000005 00.104 77.721 04.974
000000000545 220.169 -00.392 0.629 000005 00.094 94.073 05.472
000000000491 211.502 -00.733 0.558 000005 00.216 17.923 02.389
000000000154 151.375 +00.392 0.549 000004 00.144 25.866 02.869
000000000267 210.639 -00.532 0.459 000004 00.202 13.076 02.040
000000000601 219.454 -00.295 0.609 000004 00.095 58.813 04.327
