#C_ID		Rich	RA		Dec		z		Sigma (km/s)		Size (arcsec)	log Mass (M_solar)
000000000046	011	190.71537	+0.04744	0.46835		01461.60		279.41		15.4244
000000000182	011	321.12876	-0.10128	0.46327		01893.76		344.09		15.7636
000000000030	010	210.59379	-0.55691	0.44007		01178.60		279.88		15.1538
000000000128	008	342.39005	-0.44521	0.49785		00846.21		164.14		14.7021
000000000079	007	344.84259	-0.01270	0.51144		01032.16		145.52		14.9563
000000000039	007	191.56150	-0.51722	0.48679		00511.13		211.18		14.0491
000000000018	007	343.37377	-0.48724	0.57184		01585.60		147.65		15.4951
000000000057	006	202.19576	-0.35692	0.52837		00381.83		103.21		13.6549
000000000086	006	190.76287	+0.15120	0.46823		01190.97		112.68		15.1576
000000000113	006	205.61655	+0.14372	0.52788		00608.12		102.51		14.2614
000000000119	006	220.01668	-0.47552	0.54252		01841.24		119.31		15.6998
000000000093	006	205.28918	-0.17065	0.44628		01466.05		126.25		15.4360
000000000031	006	207.58773	-0.00741	0.51540		02061.66		105.13		15.8563
000000000107	006	219.03236	+0.26467	0.46068		01216.70		129.09		15.1881
000000000019	006	226.01481	-0.76160	0.44343		00496.14		234.85		14.0254
000000000091	006	204.24378	+0.03717	0.47807		00549.98		201.14		14.1475
000000000159	006	211.30551	+0.17328	0.44212		01410.76		157.87		15.3874
000000000125	006	206.60909	+0.05240	0.48053		01677.55		178.38		15.5997
000000000105	006	202.25038	-0.07166	0.48918		00239.47		162.01		13.0604
000000000067	006	326.04134	-0.45997	0.59180		00649.93		110.94		14.3265
000000000142	005	205.41281	+0.28476	0.50798		01126.10		054.66		15.0709
000000000034	005	321.85869	-0.43728	0.47508		01735.31		094.62		15.6457
000000000033	005	206.90307	+0.25752	0.49936		00734.97		106.17		14.5180
000000000064	005	213.06052	-0.89325	0.63796		01592.75		258.44		15.4791
000000000195	005	186.19423	-0.67029	0.49362		00370.77		115.94		13.6285
000000000166	005	207.87331	-0.21097	0.52060		00359.25		193.86		13.5781
000000000162	005	343.13017	-0.89190	0.53936		00553.63		102.29		14.1352
000000000175	005	206.94333	-0.02073	0.55578		00614.80		149.45		14.2662
000000000178	005	227.61535	-0.04788	0.56766		00396.18		149.16		13.6896
000000000146	005	223.67133	+0.26879	0.58030		00395.91		101.68		13.6845
000000000179	005	190.45061	-0.51665	0.45974		00560.09		116.32		14.1776
000000000156	005	207.53501	-0.46970	0.63854		00590.40		235.22		14.1859
000000000041	005	185.59436	-0.56295	0.45668		00691.05		144.54		14.4525
000000000152	005	211.97695	-0.49937	0.46712		00427.10		141.48		13.8219
000000000210	005	210.31068	+0.27519	0.47472		00240.88		115.47		13.0731
000000000157	005	325.36372	-0.44335	0.61510		01553.48		180.49		15.4541
000000000052	005	200.78507	-0.22863	0.46678		00320.31		127.15		13.4471
000000000127	005	211.78792	-0.26753	0.55270		01635.11		081.95		15.5416
000000000055	005	221.24365	+0.20647	0.61712		01227.95		245.61		15.1470
000000000214	005	221.31607	+0.11292	0.54466		00129.43		082.24		12.2398
