#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000055 000010 000000011441 150.327 +00.188 0.560
000000000484 000010 000000000103 325.896 -00.434 0.596
000000000484 000010 000000001489 325.902 -00.326 0.595
000000000484 000010 000000002386 325.866 -00.368 0.575
000000000484 000010 000000004046 325.873 -00.454 0.545
000000000484 000010 000000004196 325.819 -00.498 0.553
000000000484 000010 000000006666 325.888 -00.539 0.578
000000000484 000010 000000006829 325.954 -00.531 0.552
000000000484 000010 000000008327 325.809 -00.417 0.548
000000000484 000010 000000012517 325.907 -00.495 0.572
000000000484 000010 000000012597 325.876 -00.500 0.497
000000000522 000010 000000002456 222.849 +00.002 0.558
000000000522 000010 000000003026 222.801 +00.055 0.618
000000000522 000010 000000005053 222.798 +00.057 0.570
000000000522 000010 000000007611 222.736 +00.091 0.586
000000000522 000010 000000008187 222.669 +00.110 0.553
000000000522 000010 000000008848 222.831 +00.026 0.613
000000000522 000010 000000011614 222.661 +00.135 0.630
000000000522 000010 000000011834 222.767 +00.080 0.553
000000000522 000010 000000012342 222.846 -00.047 0.577
000000000522 000010 000000012685 222.786 +00.145 0.547
000000000487 000010 000000002305 322.473 -00.559 0.603
000000000487 000010 000000002383 322.448 -00.397 0.602
000000000487 000010 000000005008 322.511 -00.364 0.673
000000000487 000010 000000005617 322.474 -00.616 0.566
000000000487 000010 000000005695 322.448 -00.593 0.544
000000000487 000010 000000007172 322.487 -00.219 0.655
000000000487 000010 000000007889 322.443 -00.588 0.527
000000000487 000010 000000010191 322.438 -00.518 0.561
000000000487 000010 000000011738 322.434 -00.412 0.659
000000000487 000010 000000012042 322.482 -00.515 0.631
000000000442 000010 000000000467 322.140 -00.773 0.604
000000000442 000010 000000001338 322.184 -00.800 0.537
000000000442 000010 000000003258 322.137 -00.769 0.515
000000000442 000010 000000006092 322.177 -00.819 0.557
000000000442 000010 000000006799 322.178 -00.846 0.576
000000000442 000010 000000006814 322.199 -00.808 0.596
000000000442 000010 000000008777 322.241 -00.815 0.650
000000000442 000010 000000009444 322.213 -00.688 0.538
000000000442 000010 000000009475 322.214 -00.734 0.544
000000000442 000010 000000012408 322.159 -00.756 0.596
000000000258 000009 000000002369 207.915 +00.405 0.442
000000000258 000009 000000003684 207.903 +00.416 0.497
000000000258 000009 000000004354 207.940 +00.464 0.546
000000000258 000009 000000004400 207.884 +00.451 0.520
000000000258 000009 000000005669 207.945 +00.327 0.440
000000000258 000009 000000008265 207.886 +00.391 0.454
000000000258 000009 000000008714 207.934 +00.450 0.473
000000000258 000009 000000010261 207.843 +00.488 0.543
000000000258 000009 000000010333 207.916 +00.319 0.469
000000000143 000009 000000001328 140.567 +00.149 0.550
000000000143 000009 000000001541 140.601 +00.143 0.564
000000000143 000009 000000004660 140.536 +00.112 0.599
000000000143 000009 000000008100 140.594 +00.111 0.597
000000000143 000009 000000008763 140.675 -00.008 0.575
000000000143 000009 000000009014 140.674 -00.074 0.579
000000000143 000009 000000009146 140.534 +00.157 0.533
000000000143 000009 000000009558 140.655 +00.054 0.581
000000000143 000009 000000009600 140.566 +00.074 0.601
000000000128 000009 000000002040 151.956 +00.096 0.508
000000000128 000009 000000002413 151.921 +00.124 0.518
000000000128 000009 000000003386 151.941 +00.145 0.550
000000000128 000009 000000003622 151.961 -00.009 0.628
000000000128 000009 000000005027 151.935 -00.022 0.617
000000000128 000009 000000005729 151.888 -00.096 0.580
000000000128 000009 000000008018 151.942 +00.050 0.564
000000000128 000009 000000010631 151.882 +00.070 0.635
000000000128 000009 000000013123 151.944 +00.037 0.596
000000000341 000009 000000000740 343.553 -00.698 0.505
000000000341 000009 000000001427 343.494 -00.689 0.510
000000000341 000009 000000001775 343.632 -00.537 0.577
000000000341 000009 000000003529 343.590 -00.663 0.510
000000000341 000009 000000004852 343.641 -00.568 0.564
000000000341 000009 000000006175 343.581 -00.685 0.549
000000000341 000009 000000010504 343.542 -00.676 0.589
000000000341 000009 000000010660 343.640 -00.630 0.554
000000000341 000009 000000011785 343.618 -00.678 0.588
000000000482 000009 000000002039 222.001 -00.634 0.617
000000000482 000009 000000003463 222.006 -00.644 0.552
000000000482 000009 000000003957 221.995 -00.603 0.559
000000000482 000009 000000004325 222.047 -00.687 0.610
000000000482 000009 000000005910 221.960 -00.551 0.577
000000000482 000009 000000006182 221.924 -00.562 0.552
000000000482 000009 000000008582 222.014 -00.633 0.550
000000000482 000009 000000009781 222.116 -00.674 0.585
000000000482 000009 000000010335 222.039 -00.527 0.629
000000000050 000009 000000000020 156.660 -00.292 0.518
000000000050 000009 000000002226 156.661 -00.342 0.506
000000000050 000009 000000003098 156.612 -00.317 0.490
000000000050 000009 000000003268 156.695 -00.251 0.497
000000000050 000009 000000003713 156.687 -00.365 0.468
000000000050 000009 000000003941 156.735 -00.221 0.515
000000000050 000009 000000003982 156.685 -00.350 0.481
000000000050 000009 000000004667 156.626 -00.315 0.504
000000000050 000009 000000006267 156.678 -00.280 0.480
000000000251 000008 000000001811 219.052 +00.284 0.465
000000000251 000008 000000002235 218.882 +00.249 0.431
000000000251 000008 000000002375 218.932 +00.263 0.449
000000000251 000008 000000003055 219.002 +00.277 0.442
000000000251 000008 000000005022 218.786 +00.269 0.459
000000000251 000008 000000007150 219.032 +00.275 0.437
000000000251 000008 000000007358 219.081 +00.253 0.471
000000000251 000008 000000007696 218.945 +00.081 0.440
000000000270 000008 000000000456 191.556 -00.514 0.461
000000000270 000008 000000000932 191.556 -00.486 0.483
000000000270 000008 000000002539 191.624 -00.533 0.467
000000000270 000008 000000003390 191.580 -00.539 0.468
000000000270 000008 000000004363 191.741 -00.512 0.456
000000000270 000008 000000004595 191.733 -00.538 0.467
000000000270 000008 000000006023 191.697 -00.515 0.465
000000000270 000008 000000006512 191.666 -00.546 0.477
000000000524 000008 000000001873 322.829 -00.162 0.598
000000000524 000008 000000002633 322.813 -00.214 0.571
000000000524 000008 000000004015 322.731 -00.113 0.601
000000000524 000008 000000004759 322.749 -00.179 0.571
000000000524 000008 000000008912 322.788 -00.274 0.578
000000000524 000008 000000009139 322.807 -00.293 0.594
000000000524 000008 000000010958 322.847 -00.277 0.582
000000000524 000008 000000011276 322.835 -00.319 0.549
000000000420 000008 000000002075 321.785 -01.036 0.591
000000000420 000008 000000002079 321.823 -01.142 0.603
000000000420 000008 000000002864 321.832 -00.995 0.558
000000000420 000008 000000002953 321.831 -01.176 0.510
000000000420 000008 000000003726 321.800 -01.069 0.615
000000000420 000008 000000006890 321.789 -01.050 0.589
000000000420 000008 000000010668 321.794 -01.158 0.550
000000000420 000008 000000012592 321.862 -01.187 0.512
000000000031 000008 000000002066 142.173 +00.104 0.527
000000000031 000008 000000003170 142.167 +00.072 0.519
000000000031 000008 000000004146 142.163 +00.047 0.482
000000000031 000008 000000005088 142.166 +00.042 0.473
000000000031 000008 000000006695 142.146 +00.052 0.474
000000000031 000008 000000007400 142.159 +00.072 0.478
000000000031 000008 000000008923 142.219 +00.115 0.498
000000000031 000008 000000009378 142.140 +00.045 0.496
000000000428 000008 000000000088 220.160 -00.620 0.544
000000000428 000008 000000000981 220.269 -00.658 0.563
000000000428 000008 000000003828 220.251 -00.733 0.577
000000000428 000008 000000004443 220.215 -00.685 0.534
000000000428 000008 000000004638 220.172 -00.671 0.540
000000000428 000008 000000005994 220.091 -00.620 0.601
000000000428 000008 000000012452 220.127 -00.647 0.563
000000000428 000008 000000012669 220.098 -00.612 0.575
000000000328 000008 000000004098 186.211 -00.678 0.478
000000000328 000008 000000009226 186.152 -00.679 0.497
000000000328 000008 000000009338 186.188 -00.686 0.475
000000000328 000008 000000009964 186.178 -00.671 0.582
000000000328 000008 000000010544 186.213 -00.657 0.559
000000000328 000008 000000010642 186.250 -00.661 0.527
000000000328 000008 000000010743 186.239 -00.673 0.510
000000000328 000008 000000012269 186.193 -00.653 0.489
000000000367 000008 000000000222 321.596 -00.113 0.577
000000000367 000008 000000000978 321.573 -00.087 0.533
000000000367 000008 000000001438 321.609 -00.044 0.485
000000000367 000008 000000002582 321.545 -00.028 0.521
000000000367 000008 000000006603 321.580 -00.061 0.522
000000000367 000008 000000006981 321.512 -00.008 0.511
000000000367 000008 000000008196 321.581 -00.075 0.521
000000000367 000008 000000011274 321.572 -00.094 0.538
000000000160 000008 000000002162 034.982 -00.089 0.582
000000000160 000008 000000003054 034.930 -00.197 0.574
000000000160 000008 000000003931 034.990 -00.110 0.594
000000000160 000008 000000007343 035.071 -00.010 0.598
000000000160 000008 000000008080 035.047 -00.046 0.592
000000000160 000008 000000008992 034.873 -00.209 0.560
000000000160 000008 000000010235 034.943 -00.137 0.597
000000000160 000008 000000011502 034.832 -00.225 0.568
000000000437 000008 000000000864 202.202 -00.368 0.559
000000000437 000008 000000001085 202.189 -00.369 0.525
000000000437 000008 000000004063 202.248 -00.416 0.598
000000000437 000008 000000005451 202.194 -00.316 0.567
000000000437 000008 000000007190 202.201 -00.371 0.554
000000000437 000008 000000009164 202.296 -00.476 0.590
000000000437 000008 000000009241 202.234 -00.346 0.566
000000000437 000008 000000010173 202.194 -00.314 0.576
000000000338 000008 000000000265 348.592 -00.061 0.510
000000000338 000008 000000001319 348.579 -00.108 0.500
000000000338 000008 000000002936 348.644 -00.074 0.552
000000000338 000008 000000007442 348.632 -00.062 0.474
000000000338 000008 000000007510 348.622 -00.119 0.534
000000000338 000008 000000008826 348.681 -00.118 0.557
000000000338 000008 000000009883 348.567 -00.053 0.504
000000000338 000008 000000011430 348.742 -00.136 0.541
000000000535 000008 000000000980 209.922 -00.629 0.591
000000000535 000008 000000001804 209.949 -00.581 0.605
000000000535 000008 000000001830 209.950 -00.612 0.621
000000000535 000008 000000001911 210.035 -00.727 0.542
000000000535 000008 000000002805 209.863 -00.608 0.618
000000000535 000008 000000003289 210.005 -00.691 0.606
000000000535 000008 000000008479 209.970 -00.722 0.596
000000000535 000008 000000012586 209.999 -00.761 0.561
000000000459 000008 000000000883 207.896 -00.237 0.557
000000000459 000008 000000003137 207.833 -00.136 0.527
000000000459 000008 000000004401 207.898 -00.285 0.542
000000000459 000008 000000008462 207.879 -00.260 0.545
000000000459 000008 000000009306 207.880 -00.273 0.560
000000000459 000008 000000010195 207.889 -00.203 0.526
000000000459 000008 000000011297 207.798 -00.085 0.546
000000000459 000008 000000012828 207.867 -00.171 0.575
000000000252 000007 000000000324 323.370 -00.123 0.458
000000000252 000007 000000002292 323.159 -00.076 0.442
000000000252 000007 000000004578 323.317 -00.206 0.483
000000000252 000007 000000004649 323.304 -00.153 0.448
000000000252 000007 000000007344 323.121 +00.028 0.436
000000000252 000007 000000010374 323.173 +00.141 0.429
000000000252 000007 000000011780 323.269 -00.183 0.440
000000000264 000007 000000000622 321.725 -00.321 0.462
000000000264 000007 000000006881 321.677 -00.390 0.471
000000000264 000007 000000010052 321.628 -00.491 0.437
000000000264 000007 000000010717 321.667 -00.495 0.456
000000000264 000007 000000010815 321.708 -00.395 0.505
000000000264 000007 000000012160 321.717 -00.369 0.479
000000000264 000007 000000012683 321.684 -00.365 0.475
000000000470 000007 000000000534 326.362 -00.483 0.568
000000000470 000007 000000000715 326.447 -00.404 0.604
000000000470 000007 000000002043 326.440 -00.577 0.617
000000000470 000007 000000002901 326.439 -00.480 0.597
000000000470 000007 000000003853 326.393 -00.515 0.549
000000000470 000007 000000010234 326.443 -00.520 0.526
000000000470 000007 000000010678 326.460 -00.492 0.567
000000000260 000007 000000000512 203.560 -00.626 0.464
000000000260 000007 000000002438 203.598 -00.853 0.459
000000000260 000007 000000005166 203.470 -00.803 0.456
000000000260 000007 000000006930 203.604 -00.866 0.450
000000000260 000007 000000007904 203.522 -00.647 0.429
000000000260 000007 000000009681 203.557 -00.764 0.459
000000000260 000007 000000011285 203.520 -00.720 0.461
000000000464 000007 000000002006 219.982 -00.459 0.563
000000000464 000007 000000002684 220.054 -00.478 0.563
000000000464 000007 000000003196 220.000 -00.463 0.593
000000000464 000007 000000005975 219.996 -00.462 0.561
000000000464 000007 000000007546 220.012 -00.512 0.554
000000000464 000007 000000011629 220.057 -00.479 0.537
000000000464 000007 000000012140 220.020 -00.451 0.551
000000000256 000007 000000000638 225.811 +00.171 0.451
000000000256 000007 000000002505 225.860 +00.237 0.455
000000000256 000007 000000003091 225.806 +00.288 0.462
000000000256 000007 000000004640 225.801 +00.148 0.451
000000000256 000007 000000008797 225.850 +00.289 0.458
000000000256 000007 000000008937 225.868 +00.191 0.473
000000000256 000007 000000012945 225.767 +00.339 0.478
000000000229 000007 000000006244 012.922 -01.005 0.629
000000000229 000007 000000006776 012.914 -00.837 0.650
000000000229 000007 000000007221 012.796 -00.987 0.646
000000000229 000007 000000008329 012.837 -00.673 0.627
000000000229 000007 000000009159 013.078 -00.886 0.587
000000000229 000007 000000009348 012.975 -00.907 0.638
000000000229 000007 000000010961 012.868 -00.820 0.664
000000000498 000007 000000000458 221.320 -00.582 0.543
000000000498 000007 000000002595 221.275 -00.640 0.564
000000000498 000007 000000003711 221.393 -00.586 0.568
000000000498 000007 000000004816 221.307 -00.580 0.554
000000000498 000007 000000005046 221.371 -00.580 0.576
000000000498 000007 000000005578 221.384 -00.514 0.616
000000000498 000007 000000011593 221.423 -00.569 0.596
000000000303 000007 000000003862 325.305 +00.210 0.524
000000000303 000007 000000007462 325.380 +00.169 0.499
000000000303 000007 000000007579 325.294 +00.175 0.498
000000000303 000007 000000007723 325.323 +00.170 0.469
000000000303 000007 000000009207 325.357 +00.200 0.469
000000000303 000007 000000011699 325.270 +00.148 0.536
000000000303 000007 000000012186 325.360 +00.227 0.478
000000000499 000007 000000000549 223.688 -00.437 0.569
000000000499 000007 000000002815 223.714 -00.558 0.595
000000000499 000007 000000003421 223.689 -00.393 0.560
000000000499 000007 000000004348 223.644 -00.441 0.550
000000000499 000007 000000004697 223.734 -00.429 0.519
000000000499 000007 000000006149 223.715 -00.485 0.628
000000000499 000007 000000011928 223.722 -00.480 0.585
000000000332 000007 000000002942 210.297 +00.284 0.555
000000000332 000007 000000005350 210.342 +00.245 0.500
000000000332 000007 000000005531 210.261 +00.276 0.490
000000000332 000007 000000006747 210.349 +00.287 0.492
000000000332 000007 000000007503 210.306 +00.285 0.502
000000000332 000007 000000010640 210.249 +00.330 0.480
000000000332 000007 000000012588 210.296 +00.283 0.527
000000000146 000007 000000002312 152.286 -00.007 0.562
000000000146 000007 000000004432 152.295 -00.005 0.538
000000000146 000007 000000005055 152.261 -00.023 0.540
000000000146 000007 000000006009 152.156 -00.105 0.596
000000000146 000007 000000008199 152.278 -00.004 0.565
000000000146 000007 000000010946 152.229 -00.073 0.562
000000000146 000007 000000012006 152.176 -00.053 0.543
000000000309 000007 000000001498 204.255 +00.021 0.511
000000000309 000007 000000002742 204.290 +00.054 0.473
000000000309 000007 000000002941 204.245 +00.003 0.481
000000000309 000007 000000003476 204.199 +00.017 0.489
000000000309 000007 000000006445 204.156 -00.015 0.461
000000000309 000007 000000008839 204.260 +00.086 0.457
000000000309 000007 000000009438 204.303 +00.060 0.506
000000000094 000007 000000000200 185.333 -00.438 0.494
000000000094 000007 000000001277 185.386 -00.477 0.531
000000000094 000007 000000003530 185.356 -00.447 0.535
000000000094 000007 000000004466 185.378 -00.404 0.585
000000000094 000007 000000004933 185.387 -00.504 0.529
000000000094 000007 000000006817 185.374 -00.471 0.507
000000000094 000007 000000009747 185.344 -00.428 0.533
000000000096 000007 000000000480 010.280 +00.178 0.518
000000000096 000007 000000006035 010.310 +00.190 0.564
000000000096 000007 000000006419 010.308 +00.117 0.541
000000000096 000007 000000009517 010.326 +00.171 0.529
000000000096 000007 000000010168 010.295 +00.147 0.540
000000000096 000007 000000011227 010.277 +00.246 0.536
000000000096 000007 000000012662 010.262 +00.191 0.498
000000000621 000006 000000000571 185.852 +00.086 0.674
000000000621 000006 000000002019 186.119 -00.988 0.684
000000000621 000006 000000006209 185.878 +00.315 0.661
000000000621 000006 000000010265 185.833 -00.144 0.652
000000000621 000006 000000010968 185.882 +00.252 0.641
000000000621 000006 000000011339 185.997 -00.581 0.666
000000000254 000006 000000003018 211.251 +00.155 0.439
000000000254 000006 000000003099 211.376 +00.170 0.492
000000000254 000006 000000005658 211.208 -00.010 0.444
000000000254 000006 000000009755 211.280 +00.131 0.449
000000000254 000006 000000011907 211.325 +00.189 0.480
000000000254 000006 000000012445 211.285 +00.216 0.469
000000000532 000006 000000001241 218.771 +00.336 0.583
000000000532 000006 000000004355 218.791 +00.376 0.585
000000000532 000006 000000005873 218.792 +00.296 0.604
000000000532 000006 000000007111 218.738 +00.415 0.556
000000000532 000006 000000009985 218.758 +00.384 0.567
000000000532 000006 000000012598 218.744 +00.256 0.581
000000000339 000006 000000000308 222.445 -00.708 0.489
000000000339 000006 000000000992 222.347 -00.747 0.541
000000000339 000006 000000001189 222.346 -00.769 0.503
000000000339 000006 000000003052 222.414 -00.631 0.535
000000000339 000006 000000005254 222.448 -00.661 0.505
000000000339 000006 000000011840 222.398 -00.723 0.498
000000000469 000006 000000000511 211.731 +00.073 0.554
000000000469 000006 000000000774 211.735 -00.003 0.538
000000000469 000006 000000009099 211.714 -00.028 0.595
000000000469 000006 000000010049 211.738 +00.098 0.540
000000000469 000006 000000010764 211.721 +00.022 0.543
000000000469 000006 000000011191 211.761 +00.095 0.589
000000000306 000006 000000000198 226.772 +00.830 0.519
000000000306 000006 000000001033 226.774 +00.794 0.464
000000000306 000006 000000002730 226.731 +00.799 0.482
000000000306 000006 000000005839 226.747 +00.813 0.470
000000000306 000006 000000006270 226.824 +00.808 0.531
000000000306 000006 000000008721 226.768 +00.800 0.547
000000000354 000006 000000004030 321.647 -00.499 0.538
000000000354 000006 000000004886 321.613 -00.487 0.503
000000000354 000006 000000005371 321.651 -00.469 0.507
000000000354 000006 000000007770 321.601 -00.565 0.591
000000000354 000006 000000008627 321.646 -00.518 0.529
000000000354 000006 000000012742 321.655 -00.595 0.590
000000000320 000006 000000000252 321.741 +00.142 0.499
000000000320 000006 000000002150 321.655 +00.172 0.482
000000000320 000006 000000003007 321.755 +00.127 0.552
000000000320 000006 000000006359 321.722 +00.164 0.494
000000000320 000006 000000007014 321.760 +00.125 0.475
000000000320 000006 000000010751 321.664 +00.172 0.513
000000000278 000006 000000002381 321.592 +00.194 0.471
000000000278 000006 000000005431 321.513 +00.104 0.450
000000000278 000006 000000005630 321.572 +00.052 0.456
000000000278 000006 000000010574 321.568 +00.244 0.474
000000000278 000006 000000012309 321.516 +00.157 0.466
000000000278 000006 000000012386 321.543 +00.239 0.472
000000000279 000006 000000002570 323.867 -00.726 0.463
000000000279 000006 000000003304 323.886 -00.805 0.447
000000000279 000006 000000005603 323.769 -00.716 0.441
000000000279 000006 000000007654 323.812 -00.646 0.466
000000000279 000006 000000008978 323.838 -00.716 0.483
000000000279 000006 000000010295 323.828 -00.712 0.477
000000000010 000006 000000000172 150.806 +00.495 0.484
000000000010 000006 000000001564 150.759 +00.499 0.436
000000000010 000006 000000006279 150.764 +00.485 0.503
000000000010 000006 000000007478 150.796 +00.534 0.461
000000000010 000006 000000008563 150.840 +00.465 0.430
000000000010 000006 000000010870 150.721 +00.514 0.476
000000000360 000006 000000000039 210.180 +00.157 0.506
000000000360 000006 000000007534 210.179 +00.132 0.509
