#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000321 203.935 -00.010 0.476 000003 00.154 12.620 02.004
000000000322 326.443 -00.515 0.541 000003 00.184 08.888 01.682
000000000323 325.294 +00.175 0.494 000003 00.212 06.676 01.458
000000000324 224.807 -00.702 0.436 000003 00.289 03.603 01.071
000000000325 213.813 -00.526 0.379 000003 00.048 128.757 06.402
000000000329 226.089 -00.465 0.537 000003 00.516 01.129 00.599
000000000308 220.415 +00.541 0.563 000003 00.438 01.567 00.706
000000000306 204.965 -00.679 0.466 000003 00.152 12.913 02.027
000000000334 222.484 -00.506 0.554 000003 00.419 01.706 00.737
000000000287 199.896 +00.142 0.506 000003 00.193 08.059 01.602
000000000274 343.918 -00.340 0.551 000003 00.232 05.562 01.331
000000000276 229.089 -00.837 0.651 000003 00.095 33.575 03.269
000000000280 319.938 -00.966 0.540 000003 00.246 04.970 01.258
000000000281 212.740 -00.571 0.417 000003 00.126 18.749 02.443
000000000282 185.697 +00.400 0.456 000003 04.023 00.019 00.077
000000000284 188.838 +00.062 0.504 000003 00.447 01.502 00.692
000000000291 205.718 -00.323 0.603 000003 00.094 34.218 03.300
000000000305 189.091 +00.160 0.499 000003 00.192 08.168 01.612
000000000292 202.131 -00.331 0.657 000003 00.067 67.756 04.644
000000000295 207.753 -00.609 0.522 000003 00.343 02.546 00.900
000000000300 219.116 -00.199 0.624 000003 00.134 16.654 02.302
000000000301 326.813 -00.144 0.516 000003 00.235 05.438 01.316
000000000302 199.226 +00.201 0.523 000003 00.158 12.030 01.957
000000000304 211.641 -00.515 0.542 000003 00.156 12.368 01.984
000000000330 190.466 -00.052 0.521 000003 00.260 04.445 01.190
000000000336 192.597 -00.243 0.527 000003 00.148 13.619 02.082
000000000146 205.219 -00.454 0.443 000003 00.156 12.398 01.987
000000000374 221.961 -00.955 0.526 000003 00.194 07.982 01.594
000000000363 203.530 +00.335 0.473 000003 00.249 04.848 01.242
000000000366 188.805 -00.666 0.505 000003 00.248 04.897 01.249
